time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2021-03-08T21:44:29.000Z,-21.167596666666668,-47.853433333333335,557.6,4.7,46.58,0.100885555,5,gps,,,,,,,,87,
2021-03-08T21:44:30.000Z,-21.167590000000004,-47.853435000000005,557.6,4.8,0.08,0.79679,6,gps,,,,,,,,87,
2021-03-08T21:44:30.000Z,-21.167593333333336,-47.85344333333334,557.6,4.7,355.36,0.72627306,9,gps,,,,,,,,87,
2021-03-08T21:44:31.000Z,-21.167585,-47.85344166666667,557.7,4.5,359.47,0.9352503,11,gps,,,,,,,,87,
2021-03-08T21:44:32.000Z,-21.167576666666665,-47.853435000000005,557.7,4.3,4.99,0.9244411,13,gps,,,,,,,,87,
2021-03-08T21:44:33.000Z,-21.16756666666667,-47.853429999999996,557.9,4.2,7.23,0.6789186,13,gps,,,,,,,,87,
2021-03-08T21:44:34.000Z,-21.167561666666664,-47.85339666666667,558.2,3.3,13.82,0.46119112,13,gps,,,,,,,,87,
2021-03-08T21:44:35.000Z,-21.167551666666668,-47.85341333333334,558.5,3.1,18.31,0.4750886,13,gps,,,,,,,,87,
2021-03-08T21:44:36.000Z,-21.167546666666667,-47.85340666666666,558.5,3.0,32.23,0.7607595,12,gps,,,,,,,,87,
2021-03-08T21:44:37.000Z,-21.16755,-47.85340333333333,558.4,2.9,30.6,0.6737714,12,gps,,,,,,,,87,
2021-03-08T21:44:38.000Z,-21.16756833333333,-47.85346500000001,558.2,3.9,159.5,0.16831417,13,gps,,,,,,,,87,
2021-03-08T21:44:40.000Z,-21.167556666666663,-47.85346166666667,558.3,3.2,33.34,0.18890305,14,gps,,,,,,,,87,
2021-03-08T21:44:41.000Z,-21.167555,-47.85346,558.2,3.0,56.21,0.16316694,14,gps,,,,,,,,87,
2021-03-08T21:44:42.000Z,-21.16755333333333,-47.85346,558.2,2.9,86.32,0.14309278,15,gps,,,,,,,,87,
2021-03-08T21:44:43.000Z,-21.167558333333332,-47.85346166666667,558.1,2.8,86.32,0.0,15,gps,,,,,,,,87,
2021-03-08T21:44:44.000Z,-21.167565,-47.85346333333334,558.0,2.8,86.32,0.0,15,gps,,,,,,,,87,
2021-03-08T21:44:45.000Z,-21.16756666666667,-47.85346833333333,558.0,2.8,86.32,0.0,15,gps,,,,,,,,87,
2021-03-08T21:44:46.000Z,-21.167575000000003,-47.853474999999996,557.9,2.8,86.32,0.0,15,gps,,,,,,,,87,
2021-03-08T21:44:47.000Z,-21.167581666666667,-47.85348666666667,557.9,2.9,86.32,0.0,15,gps,,,,,,,,87,
2021-03-08T21:44:48.000Z,-21.167590000000004,-47.853495,557.9,2.8,86.32,0.0,15,gps,,,,,,,,87,
2021-03-08T21:44:49.000Z,-21.167601666666663,-47.85350666666667,557.8,2.8,86.32,0.0,16,gps,,,,,,,,87,
2021-03-08T21:44:50.000Z,-21.167605000000002,-47.85351833333334,557.8,2.8,86.32,0.0,15,gps,,,,,,,,87,
2021-03-08T21:44:51.000Z,-21.16761166666667,-47.85352833333333,557.8,2.8,86.32,0.0,15,gps,,,,,,,,87,
2021-03-08T21:44:52.000Z,-21.167615,-47.85354166666666,557.8,2.8,86.32,0.0,15,gps,,,,,,,,87,
2021-03-08T21:44:53.000Z,-21.167620000000003,-47.85355833333333,557.7,2.9,86.32,0.0,15,gps,,,,,,,,87,
2021-03-08T21:44:54.000Z,-21.167624999999997,-47.853575,557.7,2.9,86.32,0.0,14,gps,,,,,,,,87,
2021-03-08T21:44:55.000Z,-21.16763166666666,-47.853591666666674,557.7,2.9,86.32,0.0,14,gps,,,,,,,,87,
2021-03-08T21:44:56.000Z,-21.16764,-47.85360666666667,557.7,2.9,86.32,0.0,14,gps,,,,,,,,87,
2021-03-08T21:44:57.000Z,-21.167646666666663,-47.85361833333333,557.7,2.9,86.32,0.0,14,gps,,,,,,,,87,
2021-03-08T21:44:58.000Z,-21.167646666666663,-47.85363,557.7,2.8,86.32,0.0,14,gps,,,,,,,,87,
2021-03-08T21:44:59.000Z,-21.167655,-47.85364333333334,557.7,2.8,86.32,0.0,14,gps,,,,,,,,87,
2021-03-08T21:45:00.000Z,-21.167665000000003,-47.85366166666666,557.7,2.8,86.32,0.0,13,gps,,,,,,,,87,
2021-03-08T21:45:01.000Z,-21.16767666666666,-47.85367666666666,557.7,2.8,86.32,0.0,14,gps,,,,,,,,87,
2021-03-08T21:45:02.000Z,-21.167685,-47.85369166666666,557.7,2.8,86.32,0.0,14,gps,,,,,,,,87,
2021-03-08T21:45:03.000Z,-21.16770166666667,-47.85370833333333,557.7,2.8,86.32,0.0,13,gps,,,,,,,,87,
2021-03-08T21:45:04.000Z,-21.167711666666666,-47.85372,557.7,2.8,86.32,0.0,13,gps,,,,,,,,87,
2021-03-08T21:45:05.000Z,-21.16773,-47.85373833333333,557.6,2.9,86.32,0.0,13,gps,,,,,,,,87,
2021-03-08T21:45:06.000Z,-21.167745,-47.853761666666664,557.6,2.9,235.67,1.7124808,13,gps,,,,,,,,87,
2021-03-08T21:45:07.000Z,-21.16776333333333,-47.85378166666666,557.6,2.9,234.17,1.8421909,13,gps,,,,,,,,87,
2021-03-08T21:45:08.000Z,-21.16777833333333,-47.853795000000005,557.5,2.9,231.99,1.9688125,13,gps,,,,,,,,87,
2021-03-08T21:45:09.000Z,-21.167795,-47.85381,557.5,3.0,223.45,2.1005814,13,gps,,,,,,,,87,
2021-03-08T21:45:10.000Z,-21.167806666666667,-47.85382500000001,557.5,3.0,228.09,2.1726425,13,gps,,,,,,,,87,
2021-03-08T21:45:11.000Z,-21.16782,-47.85384666666667,557.5,3.0,237.68,2.2174234,14,gps,,,,,,,,87,
2021-03-08T21:45:12.000Z,-21.167833333333338,-47.85387166666666,557.5,3.0,237.6,2.2755868,14,gps,,,,,,,,87,
2021-03-08T21:45:13.000Z,-21.167848333333335,-47.8539,557.6,2.9,240.24,2.3332357,14,gps,,,,,,,,87,
2021-03-08T21:45:14.000Z,-21.167855,-47.853925,557.6,2.9,238.3,2.4150767,14,gps,,,,,,,,87,
2021-03-08T21:45:15.000Z,-21.167865,-47.853955,557.7,2.9,235.64,2.5030942,14,gps,,,,,,,,87,
2021-03-08T21:45:16.000Z,-21.16788,-47.853983333333325,557.9,2.9,231.68,2.5262566,14,gps,,,,,,,,87,
2021-03-08T21:45:17.000Z,-21.167896666666667,-47.854,557.9,2.8,223.43,2.512874,13,gps,,,,,,,,87,
2021-03-08T21:45:18.000Z,-21.16791333333333,-47.85401166666667,557.9,2.9,221.83,2.492285,12,gps,,,,,,,,87,
2021-03-08T21:45:19.000Z,-21.16792666666667,-47.85402666666667,557.8,3.0,231.34,2.442357,12,gps,,,,,,,,87,
2021-03-08T21:45:20.000Z,-21.167935000000003,-47.854041666666674,557.9,3.0,223.82,2.438239,13,gps,,,,,,,,87,
